部分,考试类型,问题类型,问答对,筛选后三元组
证书考试,全国大学英语四、六级考试（CET),案例篇,问：考生在报名期间因为考试科目选择错误而申请退款。后续发现所有科目考试全部退款。自学考试不能选择单独科目退款吗？答：不能，考试院申请退费是当天所有考试全部退款，而非单独科目的退款。如需再参加相关考试需要考生在报名期间重新报名。,"['(考试科目选择错误, 导致, 当天所有考试全部退款)', '(退费, 处理方式, 当天所有考试全部退款)', '(自考, 不允许, 单独科目退款)', '(考生, 需要, 重新报名)', '(重新报名, 需在, 报名期间)']"
证书考试,全国大学英语四、六级考试（CET),报名篇,问：什么是全国大学英语四、六级考试？答：全国大学英语四、六级考试（CET）是由教育部主办，教育部教育考试院（原教育部考试中心）主持和实施的大规模标准化考试，是全国性的教学考试，其目的是促进我国大学英语教学工作，对大学生的英语能力进行客观、准确的测量，为提高我国大学英语课程的教学质量提供服务。CET笔试的考试时间为每年6月和12月；CET口试的考试时间为每年5月和11月，报考口试的考生必须先报考当次相应级别的笔试。CET同时设有非英语考试科目，包括：日语四级(CJT4)、日语六级(CJT6)、俄语四级(CRT4)、俄语六级(CRT6)、德语四级(CGT4)、德语六级(CGT6)和法语四级(CFT4)，以上考试科目每年6月开考一次，均为笔试考核，无口试考核。,"['(教育部考试中心, 更名为, 教育考试院)', '(六级考试, 考试时间, 每年6月和12月)', '(全国大学英语六级考试, 考试时间, 每年6月和12月)', '(CET口试, 考试时间, 每年5月和11月)', '(CET口试, 考试时间, 每年5月和11月)', '(CET口试, 报考条件, 报考当次相应级别笔试)', '(CET, 包含考试科目, CJT6)', '(全国大学英语四六级考试, 主办单位, 教育部)', '(CET, 包含, CRT6)', '(CET, 包含, CGT4)', '(CJT4, 考试时间, 每年6月)', '(CJT6, 考试时间, 每年6月)', '(CRT4, 考试时间, 每年6月)', '(CRT6, 考试时间, 每年6月)', '(CGT4, 考试时间, 每年6月)', '(CGT6, 考试时间, 每年6月)', '(CFT4, 考试时间, 每年6月)']"
证书考试,全国大学英语四、六级考试（CET),报名篇,问：全国大学英语四、六级考试笔试科目报考资格？答：根据教育部教育考试院相关规定，CET笔试报考资格为全日制普通高等院校及全日制成人高等院校的本科、专科在校生，在籍研究生。其中，修完大学英语四级课程的学生方可报考英语四级，修完大学英语六级课程且英语四级成绩达到425分及以上的学生方可报考英语六级。报考日、德、俄语六级考生，对其相应语种四级成绩不做要求。考生须按学籍所在校规定报考笔试科目。,[]
证书考试,全国大学英语四、六级考试（CET),报名篇,问：社会考生可以报考全国大学英语四、六级考试吗？答：根据教育部教育考试院相关规定，CET仅面向全日制普通高等院校及全日制成人高等院校的本科、专科在校生，在籍研究生，不接受社会考生报考。,"['(CET, 主管机构, 教育考试院)', '(CET, 不接受报考, 社会考生)', '(CET, 报考对象, 在籍研究生)', '(全日制成人高等院校, 包含, 本科在校生)', '(全日制成人高等院校, 教育层级包括, 专科)']"
证书考试,全国大学英语四、六级考试（CET),报名篇,问：成人继续教育考生为什么不能报考全国大学英语四、六级考试？答：根据教育部教育考试院相关规定，CET为校内教学性考试，仅面向全日制普通高等院校及全日制成人高等院校的本科、专科在校生，在籍研究生，不接受非全日制成教考生报考，如有外语水平鉴定的相关需求，可报考全国英语等级考试（PETS）、雅思、托福等外语类考试。,[]
证书考试,全国大学英语四、六级考试（CET),报名篇,问：全国大学英语四、六级考试口试的报考要求？答：口试为选考科目，考生在报考口试科目前须完成对应级别笔试科目的网络报名及缴费。口语考生应在已报名的笔试考点报考，不接受跨校报考。目前并非所有笔试考点均开设口试，具体以所在学校发布的相关通知为准。,"['(口试, 是, 选考科目)', '(考生, 完成, 笔试科目网络报名及缴费)', '(考生, 完成, 笔试科目网络报名及缴费)', '(口语考生, 报考地点为, 已报名的笔试考点)', '(口语考生, 禁止, 跨校报考)', '(笔试考点, 开设, 口试)']"
证书考试,全国大学英语四、六级考试（CET),报名篇,问：全国大学英语四、六级考试的报名时间？答：CET报名时间一般为每年的3月和9月，具体以所在学校发布的相关通知为准。注：2023年上半年是在4月27日12:00至5月8日15:00；2023年下半年时在9月14日14:00至9月26日14:00。,"['(全国大学英语六级考试, 缩写为, CET-6)', '(CET, 报名时间, 每年的3月和9月)', '(CET报名时间, 依据, 相关通知)', '(所在学校, 发布, 相关通知)']"
证书考试,全国大学英语四、六级考试（CET),报名篇,问：全国大学英语四、六级考试的网上报名如何进行？答：报名采用全国集中网上报名方式。考生须在所在学校规定时间内，自行登录全国大学英语四、六级考试报名网站（网址：http://cet-bm.neea.edu.cn）完成报名，其中包括注册用户、检查确认学籍信息与报考资格、选择报考语言级别、成绩报告单/证书申请及网上缴费等操作。,"['(网上报名, 包括, 注册用户)', '(网上报名, 包括, 检查确认学籍信息与报考资格)', '(全国大学英语四六级考试网上报名, 包括, 选择报考语言级别)', '(网上报名, 包括, 网上缴费)']"
证书考试,全国大学英语四、六级考试（CET),报名篇,问：考生今年大二，已经符合报考要求，向学校提出报考申请，高校让考生大三再考。这个考试不是在校生就能考么？答：考试由学校负责组织，请考生听从学校安排。。,"['(全国大学英语四, 组织者, 学校)', '(考生, 符合, 报考条件)']"
证书考试,全国大学英语四、六级考试（CET),考试篇,问：全国大学英语四、六级考试的考试大纲如何获取？答：考生可访问全国大学英语四、六级考试网站（http://cet.neea.edu.cn/），点击“考试大纲”栏目，下载电子版考试大纲。,"['(考试大纲栏目, 提供下载, 电子版考试大纲)']"
证书考试,全国大学英语四、六级考试（CET),考试篇,问：全国大学英语四、六级考试时间？答：CET笔试的考试时间为每年6月和12月，口试的考试时间为每年5月和11月，具体以全国大学英语四、六级考试网站（http://cet.neea.edu.cn/）发布的公告为准。,"['(CET笔试, 考试时间, 每年6月和12月)', '(CET笔试, 考试时间, 每年6月和12月)', '(口试, 考试时间, 每年5月和11月)', '(CET口试, 考试时间, 每年5月和11月)']"
证书考试,全国大学英语四、六级考试（CET),考试篇,问：准考证什么时候可以下载？答：考生可在规定时间自行登录全国大学英语四、六级考试报名网站（网址：http://cet-bm.neea.edu.cn）首页，通过“快速打印准考证”，完成所报考科目准考证的打印。注：2023年上半年下载时间：口试科目5月17日9:00起，笔试科目6月8日9:00起；2023年下半年下载时间：口试科目11月13日9:00起，笔试科目12月7日9:00起。,[]
证书考试,全国中小学教师资格考试笔试,结果篇,问：全国大学英语四、六级考试成绩发布时间和查询办法？答：上半年考试成绩发布时间一般为8月中下旬，下半年考试成绩发布时间一般为次年2月中下旬，具体的发布时间和查询方式以全国大学英语四、六级考试网站（http://cet.neea.edu.cn）发布的公告为准。在成绩发布10个工作日后，考生登录中国教育考试网（www.neea.edu.cn）免费查看并下载电子成绩报告单（小语种证书），电子成绩报告单（小语种证书）与纸质成绩报告单（小语种证书）同等效力。,"['(全国大学英语六级考试, 成绩查询网站, 中国教育考试网)', '(中国教育考试网, 提供下载, 电子成绩报告单)', '(电子成绩报告单, 同等效力, 纸质成绩单)']"
证书考试,全国中小学教师资格考试笔试,结果篇,问：全国大学英语四、六级考试成绩复核办法？答：如对当次成绩有异议，可按规定进行分数核查，具体办法详见全国大学英语四、六级考试网站（cet.neea.edu.cn）“考生服务”-“成绩核查”栏目。,[]
证书考试,全国中小学教师资格考试笔试,结果篇,问：全国大学英语四、六级考试成绩单/证书遗失可以补办吗？答：CET成绩报告单遗失或损毁后不予补发，参加2005年6月及以后各次考试考生可登录全国大学英语四、六级网站(cet.neea.edu.cn)自行办理成绩证明。成绩证明与CET成绩报告单有同等效力。2005年之前的考生建议与报考所在学校档案部门联系，开具相关证明。,"['(成绩证明, 效力等同, CET成绩报告单)', '(CET网站, 可办理, 成绩证明)', '(全国大学英语六级考试, 颁发, CET成绩报告单)', '(2005年之前的CET考生, 建议联系, 所在学校档案部门)']"
证书考试,全国中小学教师资格考试笔试,结果篇,问：全国大学英语四、六级考试成绩单/证书有效期多久？答：CET成绩报告单（小语种证书）不设有效期。,"['(CET成绩报告单, 有效期, 无)', '(CET成绩报告单, 有效期, 无)']"
