部分,考试类型,问题类型,问答对,筛选后三元组
研考成考,研究生招生考试,录取后相关事件篇,问：随迁子女收到录取通知书时发现录取的并不是自己当时所填的中职校专业？答：根据《上海市教育委员会关于做好2023年上海市全日制普通中等职业学校自主招收本市初中应届毕业生中来沪人员随迁子女工作的通知》（沪教委职〔2023〕14号）文件要求。普通中职校志愿投档录取时不分专业，学生进校后，学校根据学生成绩、志愿及计划等进行专业分班和调剂。,"['(普通中职校, 录取方式, 不分专业)', '(普通中职校, 进行, 专业分班和调剂)', '(普通中职校, 执行, 专业调剂)']"
研考成考,研究生招生考试,报名篇,问：硕士研究生考生的报名条件？答：（1）中华人民共和国公民。（2）拥护中国共产党的领导，品德良好，遵纪守法。（3）身体健康状况符合国家和招生单位规定的体检要求。（4）考生学业水平必须符合下列条件之一：①国家承认学历的应届本科毕业生（含普通高校、成人高校、普通高校举办的成人高等学历教育等应届本科毕业生）及自学考试和网络教育届时可毕业本科生。考生录取当年入学前（具体时限由招生单位规定，下同）必须取得国家承认的本科毕业证书或教育部留学服务中心出具的《国（境）外学历学位认证书》，否则录取资格无效。②具有国家承认的大学本科毕业学历的人员。③获得国家承认的高职高专毕业学历后满2年（毕业后到录取当年入学前，下同）或2年以上的人员，以及国家承认学历的本科结业生，符合招生单位根据本单位的培养目标对考生提出的具体学业要求的，按本科毕业同等学力身份报考。④已获硕士、博士研究生学历或学位的人员。在校研究生报考须在报名前征得所在培养单位同意。,[]
研考成考,研究生招生考试,报名篇,问：每年什么时候可以开始报名？答：考生可以关注研招网（https://yz.chsi.com.cn/），以研招网上的公告信息为准。报名分为三个阶段：预报名阶段、正式报名阶段、网上信息确认阶段。注：2024年硕士研究生招生考试的预报名时间为2023年9月24日至9月27日每天9:00—22:00；正式报名时间为2023年10月8日至25日每天9:00—22:00；网上信息确认时间为2023年10月30日至11月4日12:00（首次材料上传开始时间至截止时间，逾期不能上传），审核不通过需要补充材料的截止时间为11月4日16:00。,"['(考生, 关注, 研招网)', '(报名篇, 分为阶段, 正式报名阶段)', '(报名篇, 分为, 网上信息确认阶段)']"
研考成考,研究生招生考试,报名篇,问：报名时候需要提交什么材料吗？答：（1）考生网上确认时应积极配合报考点，根据核验工作要求提交有关补充材料。考生应当按报考点规定配合采集本人图像等相关电子信息。（2）非上海市高校应届本科毕业生：本市户籍考生还需上传本人上海市户口簿图像，非本市户籍考生还需上传本人2023年连续六个月的上海社保缴费成功记录图像。（具体要求参见报考点公告）,[]
研考成考,研究生招生考试,报名篇,问：报考少数民族高层次骨干人才计划需要关注什么信息？答：请考生关注“上海招考热线”网站（www.shmeea.edu.cn）—首页—研考成考—研究生招生考试栏目发布的“20XX年上海市硕士研究生招生考试少数民族高层次骨干人才计划考生报考须知”内信息。网址:https://yz.chsi.com.cn/apply/ggjh/xymsh/index.do注：2023年少干报考研究生备案时间是10月10日—10月24日22:00期间。,"['(报考少数民族高层次骨干人才计划, 需关注, 20XX年上海市硕士研究生招生考试少数民族高层次骨干人才计划考生报考须知)']"
研考成考,研究生招生考试,报名篇,问：少数民族高层次骨干人才计划考生如何报考？备案需要上传哪些材料？答：选择本市各报考点的少数民族高层次骨干考生，请于规定时间将本人身份证（扫描件）、《报考2024年少数民族高层次骨干人才计划硕士研究生考生登记表》（扫描件，加盖生源地省级教育行政部门公章并签字）等材料通过“研招网”上传备案，逾期不再受理。符合条件的考生备案通过后直接选择相应报考点进行报名。具体事项请考生关注“上海招考热线”通知公告。,"['(考生, 需要上传, 身份证扫描件)', '(考生, 上传备案材料至, 研招网)', '(考生, 选择, 报考点)', '(考生, 关注, 上海招考热线网站)']"
研考成考,研究生招生考试,报名篇,问：少数民族高层次骨干人才计划报考材料审核超过3个工作日没有反馈找谁？答：如超过3个工作日未反馈备案结论，可拨打021-35367070（工作日9:00—11:00、13:30—16:00）咨询。,"['(少数民族高层次骨干人才计划, 属于, 研究生招生考试)', '(研究生招生考试, 属于, 研考成考)', '(报名篇, 属于, 研究生招生考试)', '(少数民族高层次骨干人才计划报考材料审核, 咨询电话, 021-35367070)']"
研考成考,研究生招生考试,报名篇,问：考生网上确认提交的材料审核不通过怎么办？答：考生网上确认时应积极配合报考点，根据核验工作要求提交有关补充材料。,"['(网上确认, 包含步骤, 材料审核)', '(报考点, 负责, 核验工作)', '(核验工作, 要求提交, 补充材料)']"
研考成考,研究生招生考试,考试篇,问：准考证如何下载？答：考生应当在考前十天左右，凭网报用户名和密码登录“研招网”自行下载打印《准考证》。《准考证》使用A4幅面白纸打印，正、反两面在使用期间不得涂改或书写。考生凭下载打印的《准考证》及本人有效居民身份证参加初试和复试。,"['(考生, 凭, 网报用户名)', '(考生, 登录, 研招网)', '(考生, 需要, 准考证)', '(考生, 需持, 居民身份证)', '(考生, 参加, 初试)', '(考生, 参加, 复试)', '(考生, 准考证下载时间, 考前十天左右)']"
研考成考,成人高考,结果篇,问：研究生考试成绩什么时候可以查询？答：考生可以关注“上海招考热线”网站（www.shmeea.edu.cn）—首页—研考成考—研究生招生考试栏目发布的“20XX年全国硕士研究生招生考试成绩即将公布”公告信息。注：2023年硕士研究生招生考试成绩于2023年2月21日公布。,"['(研考成考, 下设子栏目, 研究生招生考试栏目)', '(研究生招生考试栏目, 发布, 20XX年全国硕士研究生招生考试成绩即将公布)', '(2023年硕士研究生招生考试成绩, 公布日期, 2023年2月21日)', '(硕士研究生招生考试成绩, 发布于, 上海招考热线网站)']"
研考成考,成人高考,结果篇,问：研究生考试成绩在哪里查询？答：考生可根据各招生单位公布的查询方式查询成绩。,"['(招生单位, 公布, 查询方式)']"
